id,first_author,year,title,emc_category_code,emc_category,ai_category_code,ai_category,ai_technique,is_review,core_claim,results,limitations,source_file
236,Yao et al.,2023,Optimal design of multilayer radar absorbing materials: a simulation-optimization approach,A,Shielding and EMC materials,5,Metaheuristics and Bayesian optimization,Simple genetic algorithm (SGA) for optimization of the impedance-graded multilayer structure,False,The authors propose combining EM simulation (CST) and numerical computation (MATLAB) with substitution by a homogeneous medium and a simple genetic algorithm (SGA) for the optimal design of multilayer radar-absorbing materials (RAM) with an impedance-graded structure in the Ka-band.,The optimized ten-layer structure achieved a gradual impedance increase from 0 to 377 Ω and agreement between the transmission line theory calculation and the simulation; the method is described as fast and efficient compared to purely simulation-based or purely optimization-based approaches.,"Not stated explicitly in the available excerpt of the conclusion; the context implies that the method is limited to structures describable by effective (homogenized) EM parameters of the individual layers, which simplifies real complex structures.",old/245 - Optimal design of multilayer radar absorbing materials a simulation-optimization approach.pdf
247,Bora et al.,2024,Revolutionizing Electromagnetic Materials: Machine Learning Enabled Optimization of Polymer Nanocomposites for Enhanced Performance,A,Shielding and EMC materials,2,Classical machine learning,Gaussian process regression (GPR) integrated with an optimization algorithm,False,"The authors use Gaussian process regression (GPR) for multidimensional optimization of key parameters (filler content, thickness) of PDMS-Fe2O3 polymer nanocomposites, aiming to maximize the reflection loss (RL) and its bandwidth, in combination with an optimization algorithm operating on the predicted electromagnetic response.","By integrating the optimization algorithm with the GPR prediction, they achieved an optimal RLmin value of -67 dB for a 1.4 mm thick PDMS nanocomposite with 33 vol% Fe2O3, which the authors describe as the best published result to date for this type of material; experimental results confirmed the prediction.","Not stated explicitly in the available excerpt of the conclusion (it contains only the measurement methodology); this presumably concerns the GPR model's limitation to interpolation within the range of the four experimentally measured filler contents, and a single material system (PDMS-Fe2O3).",old/255 - Revolutionizing Electromagnetic Materials Machine Learning Enabled Optimization of Polymer Nanocomposites for Enhanced Performance.pdf
359,Husnain et al.,2024,Machine Learning Approaches for Predicting Shielding Effectiveness of Carbon Fiber-Reinforced Mortars,A,Shielding and EMC materials,2,Classical machine learning,"Random forest, gradient boosting, GEP, AdaBoost, decision tree, kNN, SGD, stepwise regression + SHAP",False,"The article proposes machine learning predictive models for estimating the shielding effectiveness (SE) of carbon-fiber-reinforced cement mortars as a function of radiation frequency and mix parameters (water/cement ratio, fiber content, sand/cement ratio, fiber aspect ratio).","The models achieved R² values and correlation coefficients above 0.85 and 0.95, respectively, on training, testing, and validation data; the experimental/predicted SE ratio ranged from 0.5 to 1.5; SHAP analysis and GEP equations revealed a positive correlation of SE with the sand/cement ratio, fiber aspect ratio, fiber content, and frequency, and a negative correlation with the water/cement ratio.","Not stated explicitly: the model is built on a limited dataset compiled from the literature, and its validity is limited to the investigated range of material parameters and frequencies.",old/79 - Machine learning approaches for predicting shielding effectiveness of carbon fiber-reinforced mortars.pdf
67,Du et al.,2025,SCS-Net: A DNN-based electromagnetic shielding effectiveness analysis method for slotted composite structures,A,Shielding and EMC materials,1,Neural networks and deep learning,"DNN (SCS-Net) + improved NRW equivalence, weighted L1 loss, measurement-simulation fusion (MCF)",False,"The SCS-Net method, based on a deep neural network, can accurately predict the electromagnetic shielding effectiveness (SE) of slotted composite structures, taking into account structural, material, and wave parameters. It addresses the shortage of measured data by fusing measurements and simulations (MCF dataset) together with an improved NRW equivalence and a weighted L1 loss function.","The average SE prediction error is 0.1 dB for single-frequency and 0.07 dB for swept-frequency simulations in the 8–10 GHz band; the weighted L1 norm reduces the maximum error of the equivalent EM parameters by 47% and improves accuracy on measured data by up to 23.88%, with an SE error below 0.61 dB when using the MCF dataset.","Not stated explicitly: validation is limited to the 8–10 GHz band and a small number of measured samples; the authors defer the relationships between reflection, absorption, multiple reflections, and SE to future work.",SCS-Net A DNN-based electromagnetic shielding effectiveness analysis method for slotted composite structures.pdf
20,He et al.,2025,Deep-learning approach for developing bilayered electromagnetic interference shielding composite aerogels based on multimodal data fusion neural networks,A,Shielding and EMC materials,1,Neural networks and deep learning,"Multimodal neural network (FCNN + ResNet, GatedFusion)",False,The authors propose a multimodal neural network fusing numerical composite-composition data with microstructural images to predict the EMI shielding effectiveness of bilayer Ag@F-ZnO/WPU/BF aerogel composites without the need for extensive experiments.,"The best multimodal model (FCNN + ResNet with GatedFusion) achieved an RMSE of 0.7626, MAE of 0.4918, and a correlation coefficient of R=0.9885; on four new samples it predicted SE with an average error below 5%; the experimentally prepared aerogels achieved a total shielding effectiveness (SE_T) of up to 78.6 dB and an absorption coefficient of up to 0.96.","Not stated explicitly: the model was trained and validated on only 16 (+4 new) samples of a single material system (Ag@F-ZnO/WPU/BF), which limits its general validity for other compositions.",Deep-learning approach for developing bilayered electromagnetic interference shielding composite aerogels based on multimodal data fusion neural networks.pdf
49,Hranicky,2025,Machine Learning Surrogate Models for Electromagnetic Simulation,A,Shielding and EMC materials,1,Neural networks and deep learning,Fourier Neural Operator (FNO) and Graph Neural Network (GNN) surrogate models,False,"This master's thesis develops surrogate models (Fourier Neural Operator and Graph Neural Network) for the EMC Plus FDTD solver, predicting the shielding effectiveness (SE) of electrical enclosures based on geometry, material properties, and incident plane-wave illumination conditions.","The FNO model achieves an average GDM of 0.116-0.127 (the ""excellent"" range per IEEE 1597.1-2008), an MAE of ~0.03-0.035, and an inference speedup over simulation of >3000x (16 ms vs. ~50 s); the GNN model handles more complex real-world enclosure geometries with an average GDM of 0.66-0.75 (the ""fair"" range), is about 100x smaller than the FNO model, and provides inference in ~100 ms, though about a third of the test samples fall into the ""poor"" range.","The author states that for complex real-world geometries (large domains, cable bundles, enclosure seams), the FNO model becomes memory-prohibitive (>100 GiB); the GNN model has inconsistent accuracy across samples due to limited variability of geometric configurations in the training data; and both architectures may not fully capture the physics governed by Maxwell's equations. The models also do not quantify prediction uncertainty, which is a risk for safety-critical applications.",Machine_Learning_Surrogate_Mod.pdf
34,Liu et al.,2025,Geometric Optimization of Passive High-Frequency Electromagnetic Shielding Structures Based on Finite Element Analysis and Deep Learning,A,Shielding and EMC materials,1,Neural networks and deep learning,DBN-BP neural network (deep belief network + backpropagation) + FEA,False,"Geometric optimization of passive shielding for WPT systems, combining finite-element analysis with a DBN-BP neural network, enables simultaneously increasing shielding effectiveness and reducing material consumption, with a concentric-ring structure identified as the most favorable topology.","The DBN-BP model generates tailored parametric combinations achieving, for example, 113% SE at 71.4% material volume, or 106% SE at 43.36% material consumption, relative to the baseline design; the parametric analysis showed that SE increases with ring width and decreases with the size of the gaps between rings.","The authors state that future research must include additional real-world effects to increase model accuracy, as well as new materials; verification is simulation-only (FEA) without experimental validation.",Energy Science   Engineering - 2025 - Liu - Geometric Optimization of Passive High%E2%80%90Frequency Electromagnetic Shielding.pdf
1,Qi et al.,2025,A machine learning-based inverse design method for frequency-selective surface microwave absorbers,A,Shielding and EMC materials,3,Generative and inverse models,MLP-Mixer (inverse topology and parametric design),False,"The paper proposes an ML-assisted inverse topology design method (using MLP-Mixer) for microwave FSS absorbers that maps the required electromagnetic response directly onto the topology and material parameters of a multilayer structure, thereby addressing EMC/EMI issues in electric vehicles.","The fabricated and measured sample achieved, at normal incidence, an absorption band of 1.33–7.31 GHz with a relative bandwidth of 138.2% at a thickness of 0.114 λL; at an incidence angle of 45°, the structure retains a wide relative bandwidth for both TE and TM polarization.","The method requires a large training dataset generated by electromagnetic simulations, which increases the initial design cost, although the inference itself is then on the order of microseconds.",A machine learning-based inverse design method for frequency-selective surface microwave absorbers.pdf
24,Ranjith Kumar R et al.,2025,Design and Optimization of Wide-Band FSS Using Reinforcement Learning for X and Ku Band Radar Shielding Applications,A,Shielding and EMC materials,4,Reinforcement learning,Soft Actor-Critic (SAC) reinforcement learning + equivalent circuit model,False,"A reinforcement learning framework with the Soft Actor-Critic (SAC) algorithm can automatically design a complex single-layer broadband FSS for shielding radar X- and Ku-bands, outperforming conventional iterative design procedures in both accuracy and speed.","The designed FSS achieves a stopband of 10.42 GHz (7.88–18.30 GHz), an SE of 68 dB, and angular stability up to 60°; the SAC model (500 epochs, 1800 samples) achieved an MSE of 0.2341 versus 0.2790 for DDPG, shortened the design process by 98.73%, and predicts dimensions within 120 s; the results were verified by prototype measurement.",Not stated explicitly: the approach is demonstrated on a single FSS topology and requires a dataset of 1800 simulated samples; the transferability of the RL agent to other structures and frequency bands has not been verified.,Design_and_Optimization_of_Wide-Band_FSS_Using_Reinforcement_Learning_for_X_and_Ku_Band_Radar_Shielding_Applications.pdf
30,Sairam SD et al.,2025,EMI Shielding With Anisotropic Frequency Selective Surfaces: A Neural Network and Equivalent Circuit Approach,A,Shielding and EMC materials,3,Generative and inverse models,MLP/DNN (inverse modeling) + equivalent circuit model,False,"An inverse model based on a multilayer perceptron (MLP) combined with an equivalent circuit model can predict the dimensions of a coupled ring anisotropic FSS (CRAFSS) for broadband EMI shielding from the required S-parameters, resonant frequency, and shielding effectiveness.",The best network configuration achieved an MSE of 1.012×10⁻⁴; the designed single-layer FSS provides broadband shielding in the 6–16 GHz band with stability for incidence angles of 0–60° in both TE and TM polarization; measurements of the fabricated prototype agree well with the simulations.,"Not stated explicitly: the authors leave behavior under circular polarization, tunable materials, and multilayer structures to future research; the training data originate exclusively from simulations, and the measured SE is slightly lower than the simulated SE.",EMI_Shielding_With_Anisotropic_Frequency_Selective_Surfaces_A_Neural_Network_and_Equivalent_Circuit_Approach.pdf
3,Sutrakar et al.,2025,A Machine Learning Approach for Design of Frequency Selective Surface based Radar Absorbing Material via Image Prediction,A,Shielding and EMC materials,3,Generative and inverse models,Random Forest / KNN / Decision Tree (classification and regression for unit-cell image prediction),False,"The authors propose an inverse ML approach in which the unit-cell geometry image (Jerusalem cross) is predicted directly from the required absorption coefficient of an FSS-based radar absorbing material (RAM), thereby bypassing the need for iterative EM simulations.","Of the ten ML models tested, five (Random Forest classification, K-Neighbors classification, Random Forest regression, Decision Tree classification and regression) achieved training accuracy/R2 above 90%; the best was the Random Forest classifier with a training accuracy of 0.99 and a test accuracy of 0.90.",The dataset comprises only approximately 460 samples limited to a single unit-cell topology (Jerusalem cross) and a single sample thickness; the authors plan to extend this to other cell shapes and deeper models in future work.,A_Machine_Learning_Approach_for_Design_of_Frequency_Selective_Surface_based_Radar_Absorbing_Material_via_Image_Prediction.pdf
23,Wang et al.,2025,Design of composite reactive resonance shielding coil for EV-WPT system based on hybrid robust optimization method,A,Shielding and EMC materials,1,Neural networks and deep learning,Attention-UNet surrogate (uncertainty model) + multi-objective whale optimization algorithm (MOWOA),False,"A composite reactive resonant shielding coil (nanocrystalline material + aluminum plates), designed via robust multi-objective optimization with an Attention-UNet surrogate model, can effectively shield the leakage electromagnetic field of an 11 kW EV-WPT system and ensure personnel exposure safety while maintaining high transfer efficiency even under uncertainty.","After shielding, the average induced electric field intensity in the body decreased by 48.38% (by 43.09% in the lungs), the average transfer efficiency increased by 6.46%, and the probability of exceeding the ICNIRP 2010 limit dropped from 43.09% to 0%; the surrogate model combined with MOWOA reduced the optimization computation time from 1958.3 h to 156.8 h.",Verification was performed only through simulation; the authors state that in the future they intend to investigate electromagnetic exposure safety mechanisms based on animal studies and to develop more cost-effective shielding structures.,Design of composite reactive resonance shielding coil for EV-WPT system based on hybrid robust optimization method.pdf
71,Yu et al.,2025,Surrounding Active Shielding Coil Design and Efficient Multiobjective Optimization for WPT,A,Shielding and EMC materials,5,Metaheuristics and Bayesian optimization,Data-driven polynomial-chaos metamodel + NSGA-II,False,"The proposed surrounding active shielding coil, connected in reverse series with the WPT coil, suppresses the leakage magnetic field of the WPT system without significant efficiency loss and can be rapidly designed using data-driven multi-objective optimization that combines a polynomial-chaos metamodel with the NSGA-II algorithm.","On a 300 W WPT system, the shielding coil reduced the leakage magnetic field by 86.97% and the induced electric field in the human body by 65.40%, while the transfer efficiency dropped by only 0.28%; the optimization time was reduced from 983.2 h to 432.4 s.","Not stated explicitly: verification was performed only on a laboratory 300 W system with a specific coil geometry; the metamodel is tied to the chosen design space, and transferability to other WPT configurations is not demonstrated.",Surrounding_Active_Shielding_Coil_Design_and_Efficient_Multiobjective_Optimization_for_WPT.pdf
245,Zhang et al.,2025,Machine learning-assisted rapid electromagnetic design of flexible graphene-based absorptive composites,A,Shielding and EMC materials,2,Classical machine learning,Random Forest regression within the DCPRO system for predicting dielectric properties and optimizing impedance matching,False,"The authors developed the DCPRO (Dielectric Constant Prediction and Reflection Optimization) system, which uses a machine learning model (Random Forest regression) to predict the electromagnetic properties of flexible graphene absorbing composites from key process parameters and subsequently designs a two-layer impedance-graded structure.",The designed two-layer impedance-graded structure achieved broadband absorption (EAB) in the range of 3.29-18 GHz with a minimum reflection loss (RLmin) of -56.08 dB; the approach expanded the prediction database and significantly shortened the research cycle compared to traditional trial-and-error methods.,Not stated explicitly in the available excerpt (the discussion/conclusion section is missing from the extracted text); this presumably concerns the dependence of prediction accuracy on the extent and quality of the training data for the specific graphene system.,old/253 - Machine learning-assisted rapid electromagnetic design of flexible graphene-based absorptive composites.pdf
40,Bharathi V et al.,2026,Inverse Design of Ultra-Wideband Frequency Selective Surface Using a Graph Based Conditional Variational Autoencoder Integrated With a Physics Informed Neural Network,A,Shielding and EMC materials,3,Generative and inverse models,Graph-based conditional variational autoencoder (G-CVAE) + PINN,False,"Integrating a graph-based conditional variational autoencoder (G-CVAE) with a physics-informed neural network (PINN) enables the inverse design of an ultra-wideband bandstop FSS for EMI shielding that is both data-consistent and physically realizable, including angular and polarization stability.","The G-CVAE-PINN framework achieves an average error of approximately 3%; the fabricated and measured FSS exhibits a stopband of 8–28 GHz (20 GHz width), a shielding effectiveness of 80 dB, polarization independence, and angular stability up to 75°, with a compact 5×5 mm cell (0.08 λg).",Uncertainty quantification shows that predictions near resonant dips (sharp spectral notches) have reduced reliability and must be interpreted with caution; the authors attribute minor measurement deviations to model approximation and manufacturing tolerances.,Inverse_Design_of_Ultra-Wideband_Frequency_Selective_Surface_Using_a_Graph_Based_Conditional_Variational_Autoencoder_Integrated_With_a_Physics_Informed_Neural_Network.pdf
45,Duan et al.,2026,Machine Learning-Based Prediction of Shielding Effectiveness for Apertures in Irregular Cavities,A,Shielding and EMC materials,1,Neural networks and deep learning,Neural network (regression surrogate model for large-to-small aperture mapping),False,"The authors propose an ML model that uses a neural network to map the response of a scaled-up aperture model onto the response of the actual small aperture, enabling fast prediction of the shielding effectiveness of irregular cavities without the need for fine meshing in a full EM simulation.","The trained neural network can reproduce the time-domain electric field waveforms inside the cavity with high accuracy (e.g., for an aperture width of 8 cm), in good agreement with the reference data; the authors do not report specific numerical errors (dB, %) in the abstract/introduction.","Not stated explicitly: the method was verified only for a limited range of aperture sizes in a single cavity configuration (aircraft bay), and generalization to other geometries and materials was not discussed in the extracted text.",Machine_Learning-Based_Prediction_of_Shielding_Effectiveness_for_Apertures_in_Irregular_Cavities.pdf
35,Himagireesh et al.,2026,Ensemble machine learning framework for predicting and optimizing electromagnetic shielding of Al 6061 hybrid metal matrix composites,A,Shielding and EMC materials,2,Classical machine learning,"Weighted average ensemble (WAE) of five ML models + feature importance, PDP/ICE",False,"A weighted-average ensemble of five ML algorithms can quickly and accurately predict the shielding effectiveness of Al 6061–SiC–fly ash hybrid composites and, together with feature-importance analysis, replace costly trial-and-error development of EMI shielding materials.","The ensemble model (WAE) achieved R² = 0.981 and outperformed the individual algorithms; frequency, transmission coefficients, and electrical conductivity were identified as the most important parameters; PDP/ICE analyses provided interpretable design recommendations for balancing dielectric and conductive losses.","Not stated explicitly: the framework is limited to a single material system (Al 6061–SiC–fly ash), the dataset is not publicly available, and the predictions are not validated by an independent experiment outside the training data.",Ensemble machine learning framework for predicting and optimizing electromagnetic shielding of Al 6061 hybrid metal matrix composites.pdf
46,Hossen et al.,2026,Machine Learning-Optimized High EMI Shielding Material Design for X-Band Satellite Electronics,A,Shielding and EMC materials,2,Classical machine learning,Regression-based ML optimization of metasurface geometric parameters,False,"The authors present an ML-assisted design methodology for a compact metasurface EMI shielding structure for the X-band, in which a regression optimization framework efficiently fine-tunes the unit-cell geometric parameters.","The optimized structure achieves a shielding effectiveness of 57 dB at 10.2 GHz (S21 = -57 dB) with a subwavelength cell size of 3.2 mm, and stable broadband shielding over the 6-18 GHz range.",Not stated explicitly: the work is based solely on simulations without experimental verification of a prototype; an analysis of the effect of manufacturing tolerances is missing.,Machine_Learning-Optimized_High_EMI_Shielding_Material_Design_for_X-Band_Satellite_Electronics.pdf
37,Kalantarnia et al.,2026,Machine Learning Approach for Predicting Electromagnetic Shielding Effectiveness of Metallic Grids in the Time and Frequency Domains,A,Shielding and EMC materials,1,Neural networks and deep learning,MLP neural network + NN surrogate optimization,False,"MLP neural networks trained on full-wave simulations (FIT/CST) can predict the shielding effectiveness of metal meshes in both the time domain (TDSE) and frequency domain (FDSE) from five structural and material parameters, and serve as a surrogate for fast design optimization against EMP-type transient events.","For TDSE prediction, the model achieved an RMSE of 0.02215 and R² = 0.9846; FDSE predictions in the 1–4 GHz band agree with CST with a maximum error below 1.1 dB; surrogate optimization found a design in 39 s versus 630 s for the Trust Region method in CST, at comparable accuracy.","Not stated explicitly: the datasets originate exclusively from simulations without experimental validation; FDSE is covered only in the 1–4 GHz band, and the conclusions apply to the investigated type of metal mesh on a dielectric substrate.",IET Science Measure   Tech - 2026 - Kalantarnia - Machine Learning Approach for Predicting Electromagnetic Shielding.pdf
9,Liu et al.,2026,Machine Learning-Accelerated Discovery of High-Performance Insulating Electromagnetic Interference Shielding Composites for Integrated Electronics,A,Shielding and EMC materials,1,Neural networks and deep learning,ANN (combined with SHAP analysis and FEM simulations),False,"The authors propose an ML framework (ANN) combined with finite-element simulations and SHAP analysis, which reveals that uniformly distributed fillers significantly increase the induced current in microcapacitors compared to the commonly used non-uniform fillers, leading to a design rule for electrically insulating EMI shielding composites.","The ANN model achieved the lowest MSE (6.2±0.1) and MRE (2.6±0.1%) compared to RF, DT, LR, EN, and SVR (MSE 81.7–98.4); a composite fabricated with uniform Ga particles based on the revealed rule achieved a shielding effectiveness above 90 dB in the Ka-band, a thermal conductivity of 3.7±0.1 W/m·K, and a resistivity of 1.7×10^12 Ω·m over the range −196 to 200 °C.",Not stated explicitly: the work focuses on a single specific mechanism (microcapacitors) and a single filler type (Ga particles); the transferability of the derived rules to other material systems has not been experimentally verified.,Advanced Materials - 2025 - Liu - Machine Learning‐Accelerated Discovery of High‐Performance Insulating Electromagnetic.pdf
