id,first_author,year,title,em_category_code,em_category,ai_category_code,ai_category,ai_technique,is_review,core_claim,results,limitations,source_file
105,Pietrenko-Dabrowska et al.,2020,Expedited Yield Optimization of Narrow- and Multi-Band Antennas Using Performance-Driven Surrogates,F1,Antennas and antenna arrays,2,Classical machine learning,Performance-driven surrogate model defined by reference (pre-optimized) designs for yield optimization,False,"The authors propose a simple surrogate technique for fast yield optimization of narrowband and multi-band antennas, in which the optimization domain is defined using several pre-optimized reference designs representing the main directions of resonant-frequency variation.","Verified on a ring-slot antenna and a two- and three-band uniplanar dipole antenna; optimization was achieved at a cost of only 62, 74, and 132 EM simulations, respectively; the reliability of the results was confirmed by comparison with EM Monte Carlo simulations.",Not stated explicitly: the available text (introduction and reference conclusion) contains no separate discussion of limitations; the method generally requires a set of pre-optimized reference designs as input.,old/128 - Expedited Yield Optimization of Narrow- and Multi-Band Antennas Using Performance-Driven Surrogates.pdf
102,Wu et al.,2020,Machine-learning-assisted optimization and its application to antenna designs: Opportunities and challenges,F1,Antennas and antenna arrays,2,Classical machine learning,"Review of MLAO methods: GPR, SVM, ANN as surrogate models for antenna design",True,"A review article describes ML-assisted optimization (MLAO) of antennas as a type of surrogate-based optimization, in which an ML model (GPR, SVM, ANN) replaces computationally expensive EM simulations, and summarizes algorithms for antenna optimization and sensitivity analysis (SA).",No original quantitative results; this is a review summarizing the state of MLAO methods for antenna modeling and discussing their algorithms.,"Not stated explicitly: the text does not specify concrete limitations of individual methods, only discussing future MLAO challenges in general terms.",old/125 - Machine-learning-assisted optimization and its application to antenna designs Opportunities and challenges.pdf
117,Wu et al.,2020,Multistage Collaborative Machine Learning and its Application to Antenna Modeling and Optimization,F1,Antennas and antenna arrays,2,Classical machine learning,Multi-stage collaboration of SOGPR + symmetric and asymmetric MOGPR (Gaussian process regression),False,The authors propose a multi-stage collaborative machine learning method (MS-CoML) combining single-output (SOGPR) and symmetric/asymmetric multi-output (MOGPR) Gaussian process regression for efficient multi-objective modeling and optimization of antennas with variable-fidelity data.,"On three antenna examples (a single-band, a wideband, and a multi-band antenna in the Q, V, and S/C bands), the method significantly reduced total optimization time while maintaining high prediction accuracy, using only a small proportion of high-fidelity (HF) data; specific numerical accuracy/speedup values are not given in the available text excerpt.","In the conclusion, the authors explicitly state that the limitations of the proposed MS-CoML method were discussed, but their specific wording is not present in the available text excerpt; not stated explicitly: this likely relates to the dependence of accuracy on sufficient correlation between the variable-fidelity data and the individual design tasks.",old/139 - Multistage Collaborative Machine Learning and its Application to Antenna Modeling and Optimization.pdf
106,Koziel et al.,2021,Rapid Multi-Criterial Antenna Optimization by Means of Pareto Front Triangulation and Interpolative Design Predictors,F1,Antennas and antenna arrays,2,Classical machine learning,Pareto front triangulation + local interpolative (kriging-like) surrogate models,False,The authors propose a deterministic ML procedure for multi-objective (Pareto) antenna optimization that sequentially generates Pareto-optimal designs using triangulation of the Pareto front obtained so far and local surrogate models.,The method enables the generation of uniformly distributed Pareto fronts at a cost on the order of hundreds of antenna EM simulations; verified on three validation case studies and compared with current multi-objective optimization techniques.,"Not stated explicitly: the available excerpt has no separate section on limitations; the method is sensitive to high dimensionality and strong nonlinearity of antenna characteristics, as mentioned in the introduction as a general problem of the field.",old/129 - Rapid Multi-Criterial Antenna Optimization by Means of Pareto Front Triangulation and Interpolative Design Predictors.pdf
147,Montaser et al.,2021,Deep Learning Based Antenna Design and Beam-Steering Capabilities for Millimeter-Wave Applications,F1,Antennas and antenna arrays,1,Neural networks and deep learning,DNN (5-layer network) + hybrid MGSA-PSO optimization of hyperparameters and beam-steering,False,The authors implement a deep neural network (DNN) to compute the resonant frequency of a dual-band circularly polarized patch antenna (BSPA) and for beam-steering of a circular antenna array using a hybrid MGSA-PSO algorithm.,"A database of 150 BSPA samples was split into training (135) and test (15) sets; the 16-element beam-steering array achieved a sidelobe level ≤ -30 dB at the tested angles (40°, 142°, 205°, 320°) with good agreement between the desired and synthesized radiation patterns.","Not stated explicitly: the work does not discuss the computational requirements of training the hybrid MGSA-PSO algorithm, nor the sensitivity of the results to the size of the training database (only 150 samples).",old/166 - Deep Learning Based Antenna Design and Beam-Steering Capabilities for Millimeter-Wave Applications.pdf
136,Nakmouche et al.,2021,Development of a High Gain FSS Reflector Backed Monopole Antenna Using Machine Learning for 5G Applications,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"Artificial neural network (ANN) with backpropagation, 100 neurons in the hidden layer",False,"The authors develop a high-gain monopole antenna backed by a frequency-selective surface (FSS) reflector for 5G applications, and use an artificial neural network (ANN) to find the optimal position of the FSS layer and the ground-plane dimension.","The proposed antenna (50 × 50 mm on Rogers 5880 substrate) operates in the 5.53–6.36 GHz band (targeting 6 GHz) for 5G Sub-6GHz applications; integration of the FSS layer provides a low-profile antenna with higher gain and radiation efficiency than comparable designs from the literature; the ANN model used 75% of the data for training, 10% for validation, and 15% for testing, with 100 neurons in the hidden layer.","Not stated explicitly: the available excerpt does not contain a conclusion; a likely limitation is that no fixed analytical formulas exist for this composite structure, and the validity of the ML prediction is limited to the range of the training data.",old/156 - Development of a High Gain FSS Reflector Backed Monopole Antenna Using Machine Learning for 5G Applications.pdf
128,Vu et al.,2021,Machine Learning-Enabled Joint Antenna Selection and Precoding Design: From Offline Complexity to Online Performance,F1,Antennas and antenna arrays,1,Neural networks and deep learning,Deep neural network (DNN) for antenna selection prediction and precoder design,False,"The authors propose the L-ASPD algorithm, which uses a deep neural network to learn the relationship between system parameters and selected antennas as a computationally lightweight alternative to the combinatorially complex JASPD algorithm for joint antenna selection and precoder design in multi-user MIMO downlink systems.","L-ASPD significantly outperforms baseline methods (block diagonalization, learning-assisted broadcasting solutions) in effective sum data rate under limited computation time, and reduces computational complexity by 95% while retaining more than 95% of the optimal performance.","Not stated explicitly: the available excerpt does not contain a conclusion (only author biographies); a likely limitation is the dependence of DNN performance on the quality and scope of training data, and sensitivity to changes in user/channel distribution outside the training range.",old/149 - Machine Learning-Enabled Joint Antenna Selection and Precoding Design From Offline Complexity to Online Performance.pdf
141,Wu et al.,2021,Multilayer Machine Learning-Assisted Optimization-Based Robust Design and Its Applications to Antennas and Array,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,GPR/ANN surrogate models + genetic algorithm (worst-case analysis) within a multi-layer MLAO framework,False,"The authors propose a multi-layer ML-assisted optimization method (ML-MLAO) for robust antenna and array design, which integrates surrogate models into worst-case analysis, MITH search, and robust optimization.","The method was validated on a series-fed array of 10 microstrip elements at 5.8 GHz; accurate prediction of the Pareto front and MITH was achieved while satisfying |S11|<-14 dB and SLL<-18 dB after four iterations, with significantly lower computational cost than conventional robust-design optimization methods.","Not stated explicitly in the available text (a concluding section is missing); the method requires a two-level nested iteration loop, and the accuracy of MITH prediction depends on the quality of the surrogate model in the early iterations.",old/160 - Multilayer Machine Learning-Assisted Optimization-Based Robust Design and Its Applications to Antennas and Array.pdf
75,Zardi et al.,2021,Artificial Intelligence for Adaptive and Reconfigurable Antenna Arrays: A Review,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"Review of ANN/DNN/CNN, SVM, and GA across adaptive array applications",True,"AI algorithms (ANN/DNN, SVM, GA, etc.) are more robust than classical signal-processing algorithms in noisy and multipath environments and enable more efficient adaptive and reconfigurable control of antenna arrays across five key application areas.","A review article with no original quantitative results; it summarizes the use of ANN/DNN/CNN, SVM, and GA in adaptive nulling, wireless localization, MIMO communication, element failure detection, and array calibration, citing dozens of experimental papers (e.g., DNN dominates CSI estimation for MIMO, GA for calibration and failure detection).",Not stated explicitly as a methodological limitation: the authors merely note that AI algorithms are constrained by the rules and skills of their code developers and that human oversight of their decision-making is necessary.,old/100 - Artificial Intelligence for Adaptive and Reconfigurable Antenna Arrays A Review.pdf
88,Abdelhamid et al.,2022,Optimized Two-Level Ensemble Model for Predicting the Parameters of Metamaterial Antenna,F1,Antennas and antenna arrays,2,Classical machine learning,"Two-level ensemble (RF, SVR, LightGBM + ElasticNet) tuned by ASSOA",False,"A two-level ensemble regression model (RF, SVR, LightGBM at the first level + ElasticNet at the second level) tuned by the ASSOA metaheuristic can predict the bandwidth of a metamaterial antenna more accurately than previously published ensemble models.","The proposed model achieved an RMSE of 0.013, MAE of 0.004, and MBE of 0.0017 when predicting the bandwidth of a metamaterial antenna on a public benchmark dataset, outperforming the competing ensemble models compared.","Not stated explicitly: the authors merely state the superiority of their results over other models, without discussing specific limitations of the approach.",old/112 - Optimized Two-Level Ensemble Model for Predicting the Parameters of Metamaterial Antenna.pdf
121,Chen et al.,2022,Multibranch Machine Learning-Assisted Optimization and Its Application to Antenna Design,F1,Antennas and antenna arrays,2,Classical machine learning,Multi-fidelity Gaussian process regression (GPR) with an adaptive lower confidence bound (LCB) strategy and multi-branch search,False,The authors propose a multi-branch machine-learning-assisted optimization method (MB-MLAO) with an adaptive variable lower confidence bound (LCB) and retraining of a multi-fidelity GPR model for efficient antenna optimization and worst-case performance (WCP) search under manufacturing tolerances.,"The method was demonstrated on two test functions and three antenna types, where the combination of multi-fidelity GPR and multi-branch adaptive LCB search ensures a balance between exploitation and exploration; specific numerical accuracy/speedup values are not given in the available text excerpt.",Not stated explicitly: the available excerpt does not contain a concluding discussion of limitations; a likely limitation is the dependence of method performance on the choice of LCB constants and on the quality of low-fidelity (LF) data.,old/142 - Multibranch Machine Learning-Assisted Optimization and Its Application to Antenna Design.pdf
92,Goudos et al.,2022,Design of Antennas through Artificial Intelligence: State of the Art and Challenges,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,"Review of evolutionary algorithms (GA, PSO, DE) and ML surrogate models for antenna design",True,"A review article summarizes applications of AI (evolutionary algorithms, machine learning, knowledge representation via ontologies) in antenna design and identifies challenges and future research directions.","No original quantitative results; this is a review summarizing the use of GA, PSO, DE, and other evolutionary algorithms, ML as surrogate models in conjunction with optimizers, and OWL ontologies in the antenna domain.","The authors state that the large volume of data required by most ML methods is a major obstacle, and that there is no unified way to select a suitable optimization algorithm for a specific antenna problem; they propose meta-learning and GAN-based data generation as future directions.",old/116 - Design of Antennas through Artificial Intelligence State of the Art and Challenges.pdf
119,Haque et al.,2022,Dual Band Antenna Design and Prediction of Resonance Frequency Using Machine Learning Approaches,F1,Antennas and antenna arrays,2,Classical machine learning,"CNN, linear/ridge/lasso regression, random forest, decision tree, XGBoost regression (best: DTR)",False,"The authors design a dual-band microstrip patch antenna (MPA) and evaluate it using a combination of simulation, measurement, an RLC equivalent circuit, and seven ML models for resonant-frequency prediction.","The best results were achieved by the DTR (decision tree regression) model: MSE = 0.71%, MAE = 5.63%, RMSE = 8.42%, variance score = 99.68%; the antenna has a measured bandwidth of 6.7 GHz and a simulated bandwidth of 5.9 GHz within the 7.9–14.6 GHz range (X-band and lower Ku-band).","Not stated explicitly: the available excerpt contains only the abstract and introduction, the conclusion is missing; the likely limitation is the small dataset (86 samples) and restriction to a single antenna/substrate type.",old/140 - Dual Band Antenna Design and Prediction of Resonance Frequency Using Machine Learning Approaches.pdf
139,Jain et al.,2022,Estimation of S11 Values of Patch Antenna Using Various Machine Learning Models,F1,Antennas and antenna arrays,2,Classical machine learning,"Decision Tree, Random Forest, XGBoost, KNN regression",False,"The authors show that machine learning (Decision Tree, Random Forest, XGBoost, KNN) can be used to predict the S11 (return loss) of a microstrip patch antenna based on dimensions A, B and frequency, without the need for repeated HFSS simulations.","On a dataset of 45,551 samples, the KNN model achieved the best results with MAE=1.328, MSE=4.608, and R²=0.866; the predicted and HFSS-simulated S11 values for 4 designs were very close (e.g., -26.439 dB vs. -23.966 dB at 6.32 GHz).",Not stated explicitly: the work does not evaluate the model's generalization to other antenna types/substrates or its sensitivity to noise in the data; the conclusion merely states the prediction accuracy without discussing limitations.,old/159 - Estimation of S11 Values of Patch Antenna Using Various Machine Learning Models.pdf
265,Koziel et al.,2022,Low-cost quasi-global optimization of expensive electromagnetic simulation models by inverse surrogates and response features,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,PSO + inverse regression surrogate with response features,False,"The authors propose a globalized search method for tuning high-frequency structures (antennas, microwave couplers, impedance transformers) combining response features with inverse regression surrogate models, aiming to achieve a cost comparable to local optimization procedures.",The global search capability and computational efficiency of the method are demonstrated by comparison with multi-start local search and with a particle swarm optimizer on several high-frequency structures; the total optimization cost is comparable to that of purely local procedures (specific numbers of EM simulations are not further specified in the available text excerpt).,"The authors explicitly state that the approach requires problem-specific routines for identifying characteristic points in the response, which limits its direct applicability to structures where such points can be reliably distinguished.",old/271 - Low-cost quasi-global optimization of expensive electromagnetic simulation models by inverse surrogates and response features.pdf
111,Kumar et al.,2022,Unequally Spaced Antenna Array Synthesis Using Accelerating Gaussian Mutated Cat Swarm Optimization,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,Accelerating Gaussian Mutated Cat Swarm Optimization (AGMCSO),False,"The authors propose a nature-inspired metaheuristic algorithm, AGMCSO (Accelerating Gaussian-Mutated Cat Swarm Optimization), for suppressing peak sidelobe level (PSLL) in the synthesis of non-uniformly spaced linear antenna arrays.","On benchmark multimodal problems, AGMCSO exhibits higher convergence speed and accuracy than conventional algorithms, and in the synthesis of non-uniformly spaced linear arrays it achieves a lower PSLL with a narrower first-null beamwidth (FNBW) than GA, PSO, DE, ACO, CSO, and GWO.",Not stated explicitly: the available text (introduction and references) contains no separate discussion of limitations of the proposed algorithm.,old/133 - Unequally Spaced Antenna Array Synthesis Using Accelerating Gaussian Mutated Cat Swarm Optimization.pdf
89,Li et al.,2022,Bayesian Optimization Based on Student's T Process for Microstrip Antenna Design,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,Bayesian optimization with a Student's T-process (BO-STP-EST),False,"Bayesian optimization with a Student's T-process as the surrogate model (instead of a Gaussian process), combined with an improved EST acquisition function, offers more robust and accurate global optimization for microstrip antenna resonant frequency design.","On a multimodal test function, BO-STP-EST finds the global minimum, while models with a GP surrogate (BO-GP-LCB/EST) get stuck in a local minimum; for a printed dipole antenna, it reached the target (2.45 GHz, S11 = −24.12 dB) already at the 3rd iteration (versus the 8th–41st iteration for the other models), and for an E-shaped antenna (3.50 GHz) at the 7th iteration versus the 12th–42nd iteration for the other models.",The authors explicitly state that in this work the algorithm was applied only to single-band antenna optimization; optimization of multi-band antennas is left for future work.,old/113 - Bayesian Optimization Based on Student’s T Process for Microstrip Antenna Design.pdf
124,Patel et al.,2022,Machine learning assisted metamaterial-based reconfigurable antenna for low-cost portable electronic devices,F1,Antennas and antenna arrays,2,Classical machine learning,Extra Tree Regression (ExTRM),False,"The authors propose a reconfigurable metamaterial antenna (patch with SRR and thin-wire superstrates) switched by PIN diodes for 5G/WiFi/WiMAX/WLAN applications, and use an ML model to speed up reflectance prediction and shorten simulation time.","The best design variant (two layers of TW superstrate) achieves a gain of 15.57 dB, bandwidth of 108 MHz, reflectance of −27.07 dB, and six frequency bands; the Extra Tree Regression (ExTRM) model reduced simulation time and requirements by 80%.",Not stated explicitly: the available excerpt does not contain a separate limitations section; a likely limitation is that the ML prediction is valid only within the parameter range used for training and for the given antenna geometry.,old/145 - Machine learning assisted metamaterial-based reconfigurable antenna for low-cost portable electronic devices.pdf
98,Pietrenko-Dabrowska et al.,2022,Low-cost yield-driven design of antenna structures using response-variability essential directions and parameter space reduction,F1,Antennas and antenna arrays,2,Classical machine learning,Surrogate model with parameter-space reduction via essential directions (response-variability),False,"The authors propose a low-cost surrogate method for antenna manufacturing yield optimization that restricts the metamodel domain to a few 'essential directions' that most affect the antenna response, thereby reducing the cost of training data.","Verified on four microstrip antennas; the average cost of yield optimization amounts to just 115 EM simulations, with a speedup of up to 88% over a simple surrogate method and 59% over sequential approximation optimization (SAO), at comparable resulting yield quality.","The authors point out that physical measurements of antenna prototypes are subject to errors whose magnitude is typically greater than the antenna's response variability due to manufacturing tolerances, which complicates experimental validation.",old/121 - Low-cost yield-driven design of antenna structures using response-variability essential directions and parameter space reduction.pdf
138,Ranjan et al.,2022,Ultra-Wideband CPW Fed Band-Notched Monopole Antenna Optimization Using Machine Learning,F1,Antennas and antenna arrays,2,Classical machine learning,"Decision Tree, Random Forest, XGBoost Regression, KNN, ANN (best: KNN, 98% accuracy)",False,"The authors propose a compact CPW-fed UWB monopole antenna with a band-notch, and optimize the prediction of its reflection coefficient using five ML algorithms (Decision Tree, Random Forest, XGBoost, KNN, ANN).","The fabricated antenna covers the 2.9–21.6 GHz band with a 3.2–3.9 GHz band-notch (WiMAX); the KNN algorithm achieved the best results among the compared models, with accuracy up to 98%.",Not stated explicitly: the available excerpt contains only a summary conclusion without a discussion of limitations; a likely limitation is that the prediction is valid only within the range of parameters (slot length/width/thickness) used in the simulation for the given antenna geometry.,old/158 - Ultra-Wideband CPW Fed Band-Notched Monopole Antenna Optimization Using Machine Learning.pdf
114,Shi et al.,2022,An Intelligent Antenna Synthesis Method Based on Machine Learning,F1,Antennas and antenna arrays,2,Classical machine learning,SVM antenna-type classification + stacking ensemble model (five base learners) for parameter prediction,False,The authors propose an intelligent antenna synthesis system that uses SVM classification to automatically recommend a suitable antenna type and a stacking ensemble model to provide the corresponding geometric parameters based on required performance characteristics.,"The system achieves an antenna-type classification accuracy above 99% and predicts geometric parameters with a mean absolute percentage error (MAPE) below 6%, with better accuracy than a traditional data-driven model; demonstrated on a microstrip patch, spiral, and horn antenna.",Not stated explicitly: the text contains no separate discussion of the method's limitations beyond the accuracy comparison tables.,old/136 - An Intelligent Antenna Synthesis Method Based on Machine Learning.pdf
133,Singh et al.,2022,Microstrip line fed dielectric resonator antenna optimization using machine learning algorithms,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"ANN, KNN, Random Forest, XGBoost, Decision Tree; the ANN accuracy problem addressed using a Knowledge-Based Neural Network (KBNN)",False,"The authors, for the first time, optimize a microstrip-fed dielectric resonator antenna (DRA) using several ML algorithms (ANN, KNN, Random Forest, XGBoost, Decision Tree) and introduce a Knowledge-Based Neural Network (KBNN) to address ANN accuracy issues.","The predictions of all ML models were close to the measured values, with the exception of the standalone ANN, whose problem was resolved by deploying KBNN; the antenna operates in the 3.3–3.65 GHz band with a gain of approx. 3.5 dBi, and the measured results agree well with the simulation (resonant frequency predicted by the empirical formula is 3.35 GHz, close to the simulated value).","The authors state that neural networks (ANN) require more computation time due to their layered structure and complex learning algorithm, and that the KBNN (PKI) model required the most training time because it needed a larger dataset to achieve accuracy.",old/153 - Microstrip line fed dielectric resonator antenna optimization using machine learning algorithms.pdf
206,Wu et al.,2022,"Electromagnetic characteristic estimation on spiral antennas through AOI, ML, and AI",F1,Antennas and antenna arrays,2,Classical machine learning,Gaussian process regression (GPR) with exponential covariance function,False,"The authors propose a method combining automatic optical inspection (AOI), machine learning, and AI for estimating the electromagnetic characteristics (coupling frequency) of spiral antennas based on line edge roughness (LER) of the pattern, enabling smart manufacturing.","An AI model based on Gaussian process regression with an exponential covariance function achieved, on the testing group (36 samples), an integrated RMSE of 0.010989 GHz and a coefficient of determination R² = 0.904 between predicted and measured coupling frequency.","The authors state that the degraded RMSE in the testing group was caused by deviation in samples with BA = 0.45 and unbalanced clusters of samples on one side of the reference line; with a sufficient number of samples (which was not practically feasible in this work), the RMSE would, according to the authors, improve.","old/218 - Electromagnetic characteristic estimation on spiral antennas through AOI, ML, and AI.pdf"
